Trial,VideoFile,MysteryWord,TargetWord
1,f1,MIPEN,bag
2,h5,BIST,horse
3,i1,TULA,mommy
4,e6,DOON,necklace
5,g3,TACE,phone
6,j1,JAIR,time
7,a3,ZANT,book
8,c3,VASH,shoe
9,k1,TIZ,thing
10,b6,GECK,nose
11,d1,TELPEN,ball
12,l1,BLIME,toy
13,f2,MIPEN,bag
14,h1,BIST,horse
15,i2,TULA,mommy
16,e1,DOON,necklace
17,g1,TACE,phone
18,j2,JAIR,time
19,a2,ZANT,book
20,c1,VASH,shoe
21,k2,TIZ,thing
22,b2,GECK,nose
23,d3,TELPEN,ball
24,l2,BLIME,toy
25,f3,MIPEN,bag
26,h3,BIST,horse
27,i3,TULA,mommy
28,e2,DOON,necklace
29,g4,TACE,phone
30,j3,JAIR,time
31,a4,ZANT,book
32,c2,VASH,shoe
33,k3,TIZ,thing
34,b3,GECK,nose
35,d4,TELPEN,ball
36,l3,BLIME,toy
37,f5,MIPEN,bag
38,h4,BIST,horse
39,i4,TULA,mommy
40,e4,DOON,necklace
41,g5,TACE,phone
42,j4,JAIR,time
43,a5,ZANT,book
44,c4,VASH,shoe
45,k4,TIZ,thing
46,b4,GECK,nose
47,d5,TELPEN,ball
48,l4,BLIME,toy
49,f6,MIPEN,bag
50,h6,BIST,horse
51,i5,TULA,mommy
52,e5,DOON,necklace
53,g6,TACE,phone
54,j5,JAIR,time
55,a6,ZANT,book
56,c6,VASH,shoe
57,k5,TIZ,thing
58,b5,GECK,nose
59,d6,TELPEN,ball
60,l5,BLIME,toy
